Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1946480,2016-05-06,2015-03-30,12245102,2449020400,12245102,200,1518,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946480,SRX973163,9935,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056687,PRJNA273563,,273563,SRS887629,SAMN03327324,simple,3702,Arabidopsis thaliana,9935,,,,,,,no,,,,,MPI-DB,SRA249184,,public,E07CA2BBBFEF045CBF03A69C6120B22C,1F6AAF7F3A71443B8A5A84FA27FD5117
SRR1946481,2016-05-06,2015-03-30,21885092,4377018400,21885092,200,2702,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946481,SRX973164,9937,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056687,PRJNA273563,,273563,SRS887541,SAMN03327325,simple,3702,Arabidopsis thaliana,9937,,,,,,,no,,,,,MPI-DB,SRA249184,,public,6CAB77C0163A0C36BA063264E91E0F0A,10BA1D1FAAF25B1501AFECE96583F89C
SRR1946482,2016-05-06,2015-03-30,15650069,3130013800,15650069,200,1920,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946482,SRX973165,9938,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056687,PRJNA273563,,273563,SRS887631,SAMN03327326,simple,3702,Arabidopsis thaliana,9938,,,,,,,no,,,,,MPI-DB,SRA249184,,public,803655A9D5E10C1BC09A70DED3120657,9F5A2CE0DEADACC8614CF64B0DE52244
SRR1946483,2016-05-06,2015-03-31,53570538,2757045510,0,51,2303,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946483,SRX973166,9939,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887630,SAMN03327327,simple,3702,Arabidopsis thaliana,9939,,,,,,,no,,,,,MPI-DB,SRA249184,,public,A9A1154748831B2324B7365643D4C22E,476691363CF30C759CDF3E07FEF29CCF
SRR1946484,2016-05-06,2015-03-31,25955116,974909152,0,37,731,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946484,SRX973167,9941,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887628,SAMN03327328,simple,3702,Arabidopsis thaliana,9941,,,,,,,no,,,,,MPI-DB,SRA249184,,public,36AE27BD0FD09285164A3B9C7E290EB3,AD7CDFC711B193137CDBD19CEBC472BC
SRR1946485,2016-05-06,2015-03-31,49168946,3039172654,0,61,1962,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946485,SRX973168,9942,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887627,SAMN03327329,simple,3702,Arabidopsis thaliana,9942,,,,,,,no,,,,,MPI-DB,SRA249184,,public,A10A1B8325062896BFBB1C888A42AB0F,F5487862524D6BBBF6877926164EC9BE
SRR1946486,2016-05-06,2015-03-31,66294678,3381073222,0,51,2843,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946486,SRX973169,9943,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887626,SAMN03327330,simple,3702,Arabidopsis thaliana,9943,,,,,,,no,,,,,MPI-DB,SRA249184,,public,FF6928C232143C7821F09AFEC958D97D,BED62B5A2B4D5079DC3B2D84F468578E
SRR1946487,2016-05-06,2015-03-31,50714056,3131603502,0,61,2113,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946487,SRX973170,9944,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887625,SAMN03327331,simple,3702,Arabidopsis thaliana,9944,,,,,,,no,,,,,MPI-DB,SRA249184,,public,F0B97D4A19D8FAE9E7D3C6FE6BDBAFB0,0CEC3206F5C40E71731F9F0A3B10B020
SRR1946488,2016-05-06,2015-03-31,23676652,894722575,0,37,771,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946488,SRX973171,9945,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887623,SAMN03327332,simple,3702,Arabidopsis thaliana,9945,,,,,,,no,,,,,MPI-DB,SRA249184,,public,C6246733540F460F4D9969E337AA466C,4D8CCFD3CA3B6BADB5012DA448F8380F
SRR1946489,2016-05-06,2015-03-31,27549326,1078840289,0,39,952,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946489,SRX973172,9946,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887624,SAMN03327333,simple,3702,Arabidopsis thaliana,9946,,,,,,,no,,,,,MPI-DB,SRA249184,,public,627541040F4F23B94EB74133903BAC28,C4DCEE4124B94DEB6AC6FAF63A42C114
SRR1946490,2016-05-06,2015-03-31,35730958,1409856387,0,39,1204,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946490,SRX973173,9947,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887620,SAMN03327334,simple,3702,Arabidopsis thaliana,9947,,,,,,,no,,,,,MPI-DB,SRA249184,,public,4D6142DDEEF4627AE30A0467E6FD28DF,5AB97BDBE0622AFEEDC42F0F10B30E12
SRR1946491,2016-05-06,2015-03-31,70018808,3163049693,0,45,2560,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946491,SRX973174,9948,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887622,SAMN03327335,simple,3702,Arabidopsis thaliana,9948,,,,,,,no,,,,,MPI-DB,SRA249184,,public,48865EB3A88AEB29366FBD565270416A,B2EF98C367D5BAE7A6554F45CEA2E69B
SRR1946492,2016-05-06,2015-03-31,23296486,1477266280,0,63,827,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946492,SRX973175,9949,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887618,SAMN03327336,simple,3702,Arabidopsis thaliana,9949,,,,,,,no,,,,,MPI-DB,SRA249184,,public,E17D625D251B28B9855F7A9B49295AB0,09263ACFC18D33E0CBDE141A4D4A2992
SRR1946493,2016-05-06,2015-03-31,57672144,3038652455,0,52,2588,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946493,SRX973176,9950,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887619,SAMN03327337,simple,3702,Arabidopsis thaliana,9950,,,,,,,no,,,,,MPI-DB,SRA249184,,public,52663D1DE5B7BF0E7DD40A043C13E2F8,DD49125D2DB411EF14E06E330395979E
SRR1946494,2016-05-06,2015-03-31,45600202,1773961006,0,38,1471,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946494,SRX973177,9951,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887621,SAMN03327338,simple,3702,Arabidopsis thaliana,9951,,,,,,,no,,,,,MPI-DB,SRA249184,,public,646829BB8F87C8EBDD26DB7B2C205A10,4800DC266E722728CABF05BBBB1558EB
SRR1946495,2016-05-06,2015-03-31,24261580,974697893,0,40,827,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946495,SRX973178,9952,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887614,SAMN03327339,simple,3702,Arabidopsis thaliana,9952,,,,,,,no,,,,,MPI-DB,SRA249184,,public,D1C635937D90BF630E70F11D12DC4A13,8198A176FD48F84FC7189FB032208AC1
SRR1946496,2016-05-06,2015-03-31,73144776,3537235810,0,48,3067,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946496,SRX973179,9953,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887613,SAMN03327340,simple,3702,Arabidopsis thaliana,9953,,,,,,,no,,,,,MPI-DB,SRA249184,,public,9CF7E2DF9251C982E5335AD26C9D7F95,ED2B2ADE2B63D4975D411D0507B90D42
SRR1946497,2016-05-06,2015-03-31,24233400,970563025,0,40,822,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946497,SRX973180,9955,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887617,SAMN03327341,simple,3702,Arabidopsis thaliana,9955,,,,,,,no,,,,,MPI-DB,SRA249184,,public,7785D5E3786027C406B52A51F2DF6DD2,E1D2CE16E2E5FCCA5B22A4B2138837D8
SRR1946498,2016-05-06,2015-03-31,59239658,3039694686,0,51,2608,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946498,SRX973181,9956,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887542,SAMN03327342,simple,3702,Arabidopsis thaliana,9956,,,,,,,no,,,,,MPI-DB,SRA249184,,public,01753E569890D07BED861E5AA05AED86,A8FFFF96854E682132D110831BDC7983
SRR1946499,2016-05-06,2015-03-31,23903670,905420801,0,37,771,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946499,SRX973182,9957,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887543,SAMN03327343,simple,3702,Arabidopsis thaliana,9957,,,,,,,no,,,,,MPI-DB,SRA249184,,public,B3E0FC5731AF8F3C57E3BBEE1C0BB1EB,BF30DCFBB780E32746326DDEDD25151F
SRR1946500,2016-05-06,2015-03-31,74160468,3564247322,0,48,3120,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946500,SRX973183,9958,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887545,SAMN03327344,simple,3702,Arabidopsis thaliana,9958,,,,,,,no,,,,,MPI-DB,SRA249184,,public,DC8602656CB91757C1545281202C32A1,D6EA5C624FDEEED9F76BF53D0703BE04
SRR1946501,2016-05-06,2015-03-31,27727292,1099638261,0,39,964,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946501,SRX973184,9959,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887615,SAMN03327345,simple,3702,Arabidopsis thaliana,9959,,,,,,,no,,,,,MPI-DB,SRA249184,,public,4C97BEB9390CA2E1B8EFB76C75820EC9,BFAC0A247A6FB1D257F5167EA95B44DE
SRR1946502,2016-05-06,2015-03-31,26156416,1031558291,0,39,898,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946502,SRX973185,9960,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887612,SAMN03327346,simple,3702,Arabidopsis thaliana,9960,,,,,,,no,,,,,MPI-DB,SRA249184,,public,B6F0AD0BE1118AD1C2595BCEA87AB68D,B66602988E1683D302C0AE63E29C939B
SRR1946503,2016-05-06,2015-03-31,27430060,1039031103,0,37,871,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946503,SRX973186,9962,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887616,SAMN03327347,simple,3702,Arabidopsis thaliana,9962,,,,,,,no,,,,,MPI-DB,SRA249184,,public,164B9E773B27C31D358F712DF6DB12C5,515BA658290E3CF81BD7792653F5FC1F
SRR1946504,2016-05-06,2015-03-31,26647980,1071358684,0,40,937,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946504,SRX973187,9963,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887611,SAMN03327348,simple,3702,Arabidopsis thaliana,9963,,,,,,,no,,,,,MPI-DB,SRA249184,,public,F96BE056F250CA60DD56ED1E9AF58612,921DF4D1307435FAB92BAC306A26AB64
SRR1946505,2016-05-06,2015-03-31,36377768,1428615529,0,39,1198,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946505,SRX973188,9964,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887544,SAMN03327349,simple,3702,Arabidopsis thaliana,9964,,,,,,,no,,,,,MPI-DB,SRA249184,,public,0F8B5E377956D2FA5BB0ADBC9EBDF7BD,9836A47178D9BFAD776C0EEAFCBFE3A7
SRR1946506,2016-05-06,2015-03-31,70806874,3442431171,0,48,2969,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946506,SRX973189,9965,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887610,SAMN03327350,simple,3702,Arabidopsis thaliana,9965,,,,,,,no,,,,,MPI-DB,SRA249184,,public,B9D4604D97D2B82AAC8DB4A96A0ADBE0,E85C5C8AEFDC70393E69576D54AF3801
SRR1946507,2016-05-06,2015-03-31,26359926,1059840628,0,40,924,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946507,SRX973190,9966,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887608,SAMN03327351,simple,3702,Arabidopsis thaliana,9966,,,,,,,no,,,,,MPI-DB,SRA249184,,public,81B1D152374956D46857458441EF030B,252165C9721FD6FBF1E5516A4934E872
SRR1946508,2016-05-06,2015-03-31,27018020,1034403866,0,38,874,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946508,SRX973191,9968,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887609,SAMN03327352,simple,3702,Arabidopsis thaliana,9968,,,,,,,no,,,,,MPI-DB,SRA249184,,public,C5083DD5F7C8EF581822C50110D5F482,E089244ADF0FBD974D613E735F129C38
SRR1946509,2016-05-06,2015-03-31,25836078,988586895,0,38,829,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946509,SRX973192,9969,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887606,SAMN03327353,simple,3702,Arabidopsis thaliana,9969,,,,,,,no,,,,,MPI-DB,SRA249184,,public,6FF9FCC7A78CDD8C206F05E5DEF9BE78,F61788D63BD22383B46F3A29EBF5FCBB
SRR1946510,2016-05-06,2015-03-31,45303618,1762135279,0,38,1195,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946510,SRX973193,9970,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887605,SAMN03327354,simple,3702,Arabidopsis thaliana,9970,,,,,,,no,,,,,MPI-DB,SRA249184,,public,B92810D52EBCB5338F8FD9B418559AF2,2251B20776E0270326A2EEEF8A2A5398
SRR1946511,2016-05-06,2015-03-31,57939124,3010678195,0,51,2506,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946511,SRX973194,9971,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887607,SAMN03327355,simple,3702,Arabidopsis thaliana,9971,,,,,,,no,,,,,MPI-DB,SRA249184,,public,7DF163BA274FB2F312786E70BE84DD6E,90C742BBFA80F1E6B8D7AB50F84273B6
SRR1946512,2016-05-06,2015-03-31,22628150,894444878,0,39,758,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946512,SRX973195,9972,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887604,SAMN03327356,simple,3702,Arabidopsis thaliana,9972,,,,,,,no,,,,,MPI-DB,SRA249184,,public,7AC16F602E0419A5C4AA1BC1BA8736BC,09EAD37468FD5A8AE37A07ACCEA79677
SRR1946513,2016-05-06,2015-03-31,25768316,1373462055,0,53,1049,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946513,SRX973196,9973,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887602,SAMN03327357,simple,3702,Arabidopsis thaliana,9973,,,,,,,no,,,,,MPI-DB,SRA249184,,public,3D680B210F6036D1B0FA30FBB79F68E2,35FB9906D462B758857B649B9B0AA08A
SRR1946514,2016-05-06,2015-03-31,22846412,855342320,0,37,723,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946514,SRX973197,9974,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887601,SAMN03327358,simple,3702,Arabidopsis thaliana,9974,,,,,,,no,,,,,MPI-DB,SRA249184,,public,29AFEF663D7826481B4E58BBEA3873E5,BE4AAB5517D54C667999981F62065A93
SRR1946515,2016-05-06,2015-03-31,60623462,3039306397,0,50,2478,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946515,SRX973198,9975,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887603,SAMN03327359,simple,3702,Arabidopsis thaliana,9975,,,,,,,no,,,,,MPI-DB,SRA249184,,public,91850969423AFAD8747C13E7B24F4C1B,2B6C38ECD30FE5B3ACED534983F72B49
SRR1946516,2016-05-06,2015-03-31,27288162,1023192851,0,37,855,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946516,SRX973199,9976,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887600,SAMN03327360,simple,3702,Arabidopsis thaliana,9976,,,,,,,no,,,,,MPI-DB,SRA249184,,public,C1B319DF897AC103E616F4CB7338EA7F,5797B47BD6611A072CBB24116F7FA296
SRR1946517,2016-05-06,2015-03-31,31333908,1546704330,0,49,1263,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946517,SRX973200,9978,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887598,SAMN03327361,simple,3702,Arabidopsis thaliana,9978,,,,,,,no,,,,,MPI-DB,SRA249184,,public,10013F424993E56A5BE259CDA094426D,CD5156C5F32680BD893CD8E37E1FED6A
SRR1946518,2016-05-06,2015-03-31,60033018,3054396751,0,50,2639,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946518,SRX973201,9979,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887599,SAMN03327362,simple,3702,Arabidopsis thaliana,9979,,,,,,,no,,,,,MPI-DB,SRA249184,,public,3079A9BE7B2EEDD4C76021D30BB3F6A4,08860938AC33524192DDD5AD667A28B7
SRR1946519,2016-05-06,2015-03-31,28034188,1109121417,0,39,978,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946519,SRX973202,9980,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887596,SAMN03327363,simple,3702,Arabidopsis thaliana,9980,,,,,,,no,,,,,MPI-DB,SRA249184,,public,FC744FBD788BC2B92040FAB8633FF905,1A1573BBDCD7A58A76831DDA65C84352
SRR1946520,2016-05-06,2015-03-31,42930484,1693439217,0,39,1424,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946520,SRX973203,9981,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887597,SAMN03327364,simple,3702,Arabidopsis thaliana,9981,,,,,,,no,,,,,MPI-DB,SRA249184,,public,98EE67E7FEA87C353712855854BA5E65,1032DB89D79B0781B4A32AE03CD5D5D6
SRR1946521,2016-05-06,2015-03-31,57085240,2960855379,0,51,2452,,http://sra-download.ncbi.nlm.nih.gov/srapub/SRR1946521,SRX973204,9982,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP056687,PRJNA273563,,273563,SRS887595,SAMN03327365,simple,3702,Arabidopsis thaliana,9982,,,,,,,no,,,,,MPI-DB,SRA249184,,public,E525CE4814E82FA79EAA85A752755BA6,D2D4FF15E941606826E98A35973CEF40
